Gene	weighted_cS2G_score	phenotype	locusname
SLC35F6	0.90323535	tg	annotated_credset_29.1.txt
MPV17	1.0	tg	annotated_credset_30.1.txt
DNAJC5G	0.060817356	tg	annotated_credset_30.1.txt
FTH1P3	0.999548	tg	annotated_credset_31.1.txt
IFI35	0.131907	tg	annotated_credset_346.1.txt
IFI35	0.211520031	tg	annotated_credset_347.1.txt
RUNDC1	0.536979405	tg	annotated_credset_347.1.txt
ARL4D	0.453175	tg	annotated_credset_348.1.txt
CD300LG	0.440984	tg	annotated_credset_349.1.txt
HDAC5	0.0978301	tg	annotated_credset_350.1.txt
CREB3L3	0.0730772	tg	annotated_credset_366.1.txt
INSR	0.563476	tg	annotated_credset_368.1.txt
INSR	0.0744411	tg	annotated_credset_369.1.txt
RBKS	0.07599834	tg	annotated_credset_37.1.txt
MAP2K7	0.397478721	tg	annotated_credset_370.1.txt
TIMM44	0.120259	tg	annotated_credset_370.1.txt
RAB11B-AS1	0.893255552	tg	annotated_credset_372.1.txt
EVI5L	0.28594	tg	annotated_credset_372.1.txt
ZNF177	0.1508251582	tg	annotated_credset_372.1.txt
ZNF625	0.806593	tg	annotated_credset_373.1.txt
KANK2	0.926312	tg	annotated_credset_373.1.txt
C19orf80	0.0361490032	tg	annotated_credset_373.1.txt
DOCK6	0.0844206	tg	annotated_credset_373.1.txt
MEF2B	0.19971	tg	annotated_credset_374.1.txt
MEF2BNB	0.90678734	tg	annotated_credset_374.1.txt
ATP13A1	0.78940323	tg	annotated_credset_374.1.txt
CILP2	0.441313	tg	annotated_credset_375.1.txt
MAU2	0.5918214159999999	tg	annotated_credset_375.1.txt
YJEFN3	0.135132	tg	annotated_credset_375.1.txt
ATP13A1	0.309503	tg	annotated_credset_375.1.txt
MAU2	0.962	tg	annotated_credset_376.1.txt
TM6SF2	0.43261368	tg	annotated_credset_376.1.txt
YJEFN3	0.090332004	tg	annotated_credset_376.1.txt
GATAD2A	0.914	tg	annotated_credset_376.1.txt
ATP13A1	0.37008048	tg	annotated_credset_378.1.txt
RBKS	0.143165	tg	annotated_credset_38.1.txt
IFT172	0.712632284	tg	annotated_credset_38.1.txt
ZNF512	0.785669	tg	annotated_credset_38.1.txt
GPN1	0.301369	tg	annotated_credset_38.1.txt
DOCK7	0.247214	tg	annotated_credset_9.1.txt
